datetime,bpm,period
2018-05-03 15:09:36.803,81,after lunch
2018-05-03 15:09:37.106,81,after lunch
2018-05-03 15:09:37.405,71,after lunch
2018-05-03 15:09:37.708,71,after lunch
2018-05-03 15:09:38.007,71,after lunch
2018-05-03 15:09:38.306,71,after lunch
2018-05-03 15:09:38.610,71,after lunch
2018-05-03 15:09:38.909,71,after lunch
2018-05-03 15:09:39.212,71,after lunch
2018-05-03 15:09:39.511,71,after lunch
2018-05-03 15:09:40.113,71,after lunch
2018-05-03 15:09:40.412,71,after lunch
2018-05-03 15:09:40.715,71,after lunch
2018-05-03 15:09:41.014,71,after lunch
2018-05-03 15:09:41.317,71,after lunch
2018-05-03 15:09:41.616,71,after lunch
2018-05-03 15:09:41.915,71,after lunch
2018-05-03 15:09:42.218,71,after lunch
2018-05-03 15:09:42.517,71,after lunch
2018-05-03 15:09:48.227,107,after lunch
2018-05-03 15:09:48.530,107,after lunch
2018-05-03 15:09:48.829,107,after lunch
2018-05-03 15:09:49.431,107,after lunch
2018-05-03 15:09:49.730,107,after lunch
2018-05-03 15:09:50.033,107,after lunch
2018-05-03 15:09:50.332,84,after lunch
2018-05-03 15:09:50.635,84,after lunch
2018-05-03 15:09:50.934,84,after lunch
2018-05-03 15:09:51.536,76,after lunch
2018-05-03 15:09:51.835,76,after lunch
2018-05-03 15:09:52.138,76,after lunch
2018-05-03 15:09:52.437,74,after lunch
2018-05-03 15:09:53.040,75,after lunch
2018-05-03 15:09:53.339,76,after lunch
2018-05-03 15:09:53.642,77,after lunch
2018-05-03 15:09:53.941,77,after lunch
2018-05-03 15:09:54.244,78,after lunch
2018-05-03 15:09:54.543,79,after lunch
2018-05-03 15:09:55.145,79,after lunch
2018-05-03 15:09:55.444,79,after lunch
2018-05-03 15:09:55.747,80,after lunch
2018-05-03 15:09:56.046,80,after lunch
2018-05-03 15:09:56.349,100,after lunch
2018-05-03 15:09:56.648,100,after lunch
2018-05-03 15:10:00.556,109,after lunch
2018-05-03 15:10:00.855,109,after lunch
2018-05-03 15:10:02.960,109,after lunch
2018-05-03 15:12:25.540,71,after lunch
2018-05-03 15:12:26.142,65,after lunch
2018-05-03 15:12:26.441,71,after lunch
2018-05-03 15:12:26.744,65,after lunch
2018-05-03 15:12:27.043,62,after lunch
2018-05-03 15:12:27.342,65,after lunch
2018-05-03 15:12:27.645,65,after lunch
2018-05-03 15:12:27.944,70,after lunch
2018-05-03 15:12:28.547,62,after lunch
2018-05-03 15:12:28.846,65,after lunch
2018-05-03 15:12:29.149,70,after lunch
2018-05-03 15:12:29.448,62,after lunch
2018-05-03 15:12:29.747,65,after lunch
2018-05-03 15:12:30.050,65,after lunch
2018-05-03 15:12:30.349,70,after lunch
2018-05-03 15:12:30.951,65,after lunch
2018-05-03 15:12:31.250,65,after lunch
2018-05-03 15:12:31.553,65,after lunch
2018-05-03 15:12:31.852,62,after lunch
2018-05-03 15:12:32.454,62,after lunch
2018-05-03 17:55:50.821,62,after jogging
2018-05-03 17:55:51.120,62,after jogging
2018-05-03 17:55:51.419,65,after jogging
2018-05-03 17:55:51.722,65,after jogging
2018-05-03 17:55:52.021,69,after jogging
2018-05-03 17:55:52.320,69,after jogging
2018-05-03 17:55:52.623,72,after jogging
2018-05-03 17:55:52.922,72,after jogging
2018-05-03 17:55:53.524,103,after jogging
2018-05-03 17:55:53.823,103,after jogging
2018-05-03 17:56:06.131,84,after jogging
2018-05-03 17:56:06.434,84,after jogging
2018-05-03 17:56:06.733,88,after jogging
2018-05-03 17:56:07.032,88,after jogging
2018-05-03 17:56:07.336,88,after jogging
2018-05-03 17:56:07.635,88,after jogging
2018-05-03 17:56:08.237,88,after jogging
2018-05-03 17:56:08.536,88,after jogging
2018-05-03 17:56:09.138,88,after jogging
2018-05-03 17:56:09.437,88,after jogging
2018-05-03 17:56:09.740,88,after jogging
2018-05-03 17:56:19.644,108,after jogging
2018-05-03 17:56:19.947,108,after jogging
2018-05-03 17:56:20.246,106,after jogging
2018-05-03 17:56:20.848,105,after jogging
2018-05-03 17:56:21.147,104,after jogging
2018-05-03 17:56:21.450,104,after jogging
2018-05-03 17:56:21.749,105,after jogging
2018-05-03 17:56:22.048,105,after jogging
2018-05-03 17:56:22.351,109,after jogging
2018-05-03 17:57:59.020,109,after jogging
2018-05-03 17:57:59.319,109,after jogging
2018-05-03 17:57:59.921,108,after jogging
